Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,112.0,114.4,110.51,112.7,102.4,4981782.0
2022-07-04,112.13,114.07,111.51,112.55,102.27,1154938.0
2022-07-05,112.01,112.48,108.54,112.05,101.81,8239468.0
2022-07-06,111.86,113.5,111.15,112.88,102.57,4527085.0
2022-07-07,112.88,113.98,111.76,112.18,101.92,8663507.0
2022-07-08,111.87,114.16,110.25,113.73,103.33,9690927.0
2022-07-11,113.0,113.0,111.13,111.57,101.37,6543779.0
2022-07-12,111.63,115.68,110.61,115.05,104.53,8890751.0
2022-07-13,114.51,117.2,114.51,114.95,104.45,7566392.0
2022-07-14,114.01,114.33,112.91,113.54,103.16,6471628.0
2022-07-15,113.98,114.58,112.58,113.05,102.72,5445301.0
2022-07-18,113.79,114.58,111.0,111.59,101.4,5408398.0
2022-07-19,111.88,114.59,111.76,114.27,103.83,9070247.0
2022-07-20,113.7,118.05,113.7,117.58,106.83,7625293.0
2022-07-21,117.63,120.87,115.41,119.61,108.67,6360046.0
2022-07-22,119.88,119.93,113.2,113.55,103.18,5424081.0
2022-07-25,113.87,117.38,113.59,116.16,105.55,8240506.0
2022-07-26,116.62,117.04,113.91,114.3,103.85,7336925.0
2022-07-27,114.79,114.79,112.0,113.01,102.68,9522498.0
2022-07-28,113.22,118.51,113.22,117.65,106.89,6609078.0
2022-07-29,117.65,119.82,115.7,115.98,105.38,8306235.0
2022-08-01,115.8,118.08,112.01,112.19,101.93,5055239.0
2022-08-02,112.19,113.88,109.7,111.37,101.19,5341438.0
2022-08-03,111.73,112.48,110.51,112.01,101.77,4878058.0
2022-08-04,112.69,114.98,110.5,110.93,100.79,6142889.0
2022-08-05,110.52,111.79,109.01,110.19,100.12,9097027.0
2022-08-08,110.19,115.58,110.19,115.29,104.75,9599711.0
2022-08-09,114.51,117.38,113.94,116.04,105.43,6090934.0
2022-08-10,116.38,123.37,116.38,120.75,109.71,9618154.0
2022-08-11,120.93,121.8,116.83,121.36,110.26,5763517.0
2022-08-12,121.69,124.12,120.62,123.48,112.2,5190206.0
2022-08-15,123.0,124.69,121.72,124.25,112.89,3924547.0
2022-08-16,124.43,124.88,123.18,123.86,112.53,6606342.0
2022-08-17,123.76,126.38,123.0,125.98,114.46,4329644.0
2022-08-18,125.63,126.29,123.01,125.22,113.77,6259893.0
