 Aguascalientes,922260,2.59
 Baja California,2426598,1.95
 Baja California Sur,,2.49
 Campeche,654054,
 Coahuila de Zaragoza,2126205,1.97
 Colima,,
 Chiapas,3474961,14.84
 Chihuahua,,2.6
 CDMX,7128836,1.48
 Durango,1237512,
 Guanajuato,,6.35
 Guerrero,2439412,13.61
 Hidalgo,2049589,
 Jalisco,5657534,3.52
 Mexico,11882755,3.34
 Michoacan,3254687,8.27
 Morelos,,4.96
 Nayarit,844407,5.04
 Nuevo Leon,,1.63
 Oaxaca,2794973,13.31
 Puebla,4350813,
 Queretaro,,4.54
 Quintana Roo,1090216,3.87
 San Luis Potosi,1941965,6.28
 Sinaloa,2169167,
 Sonora,2070267,2.17
 Tabasco,,5.36
 Tamaulipas,2500369,3
 Tlaxcala,908171,3.95
 Veracruz,5960115,
 Yucatan,,7.41
 Zacatecas,1112487,4.39
