Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,11,108,1,120
 Baja California,BC,Noroeste,264,2469,90,2823
 Baja California Sur,BS,Noroeste,16,87,1,104
 Campeche,CM,Sureste,10,73,0,83
 Coahuila de Zaragoza,CO,Noreste,52,254,0,306
 Colima,CL,Occidente,103,726,1,830
 Chiapas,CS,Sureste,71,548,0,619
 Chihuahua,CH,Noroeste,308,2625,3,2936
 CDMX,CX,Centro-Sur,144,1157,0,1301
 Durango,DG,Noroeste,23,152,0,175
 Guanajuato,GT,Noreste,412,3586,21,4019
 Guerrero,GR,Centro-Sur,195,1738,4,1937
 Hidalgo,HG,Occidente,65,410,4,479
 Jalisco,JC,Noroeste,263,2260,2,2525
 Mexico,EM,Occidente,472,2767,3,3242
 Michoacan,MI,Occidente,199,2259,4,2462
 Morelos,MO,Centro-Sur,102,955,2,1059
 Nayarit,NA,Noroeste,24,193,1,218
 Nuevo Leon,NL,Noreste,98,889,0,987
 Oaxaca,OA,Sureste,140,1024,0,1164
 Puebla,PU,Centro-Sur,123,1150,1,1274
 Queretaro,QT,Noreste,28,196,0,224
 Quintana Roo,QR,Sureste,74,676,0,750
 San Luis Potosi,SL,Noreste,49,467,6,522
 Sinaloa,SI,Noroeste,58,1071,4,1133
 Sonora,SO,Noroeste,115,1203,66,1384
 Tabasco,TB,Sureste,80,611,0,691
 Tamaulipas,TM,Noreste,115,752,16,883
 Tlaxcala,TL,Centro-Sur,26,163,0,189
 Veracruz,VE,Sureste,170,1321,2,1493
 Yucatan,YU,Sureste,4,42,0,46
 Zacatecas,ZA,Noreste,79,598,6,683
