fecha,tipo_ingreso,linea,ingreso
2022-01-01,Boletos,Línea 1,324825.0
2022-01-01,Boletos,Línea 2,302150.0
2022-01-01,Boletos,Línea 3,180225.0
2022-01-01,Boletos,Línea 4,44330.0
2022-01-01,Boletos,Línea 5,134725.0
2022-01-01,Boletos,Línea 6,53275.0
2022-01-01,Boletos,Línea 7,88100.0
2022-01-01,Boletos,Línea 8,160000.0
2022-01-01,Boletos,Línea 9,89325.0
2022-01-01,Boletos,Línea A,163450.0
2022-01-01,Boletos,Línea B,278350.0
2022-01-01,Boletos,Línea 12,0.0
2022-01-01,Recargas,Línea 1,439332.5
2022-01-01,Recargas,Línea 2,369354.8
2022-01-01,Recargas,Línea 3,347269.8
2022-01-01,Recargas,Línea 4,42479.0
2022-01-01,Recargas,Línea 5,182709.0
2022-01-01,Recargas,Línea 6,46450.0
2022-01-01,Recargas,Línea 7,125676.0
2022-01-01,Recargas,Línea 8,371191.5
2022-01-01,Recargas,Línea 9,241842.5
2022-01-01,Recargas,Línea A,277594.7
2022-01-01,Recargas,Línea B,477216.2
2022-01-01,Recargas,Línea 12,0.0
2022-01-01,Tarjetas,Línea 1,6105.0
2022-01-01,Tarjetas,Línea 2,5490.0
2022-01-01,Tarjetas,Línea 3,3930.0
2022-01-01,Tarjetas,Línea 4,255.0
2022-01-01,Tarjetas,Línea 5,2730.0
2022-01-01,Tarjetas,Línea 6,495.0
2022-01-01,Tarjetas,Línea 7,1215.0
2022-01-01,Tarjetas,Línea 8,4200.0
2022-01-01,Tarjetas,Línea 9,1680.0
2022-01-01,Tarjetas,Línea A,2520.0
2022-01-01,Tarjetas,Línea B,3885.0
2022-01-01,Tarjetas,Línea 12,0.0
2022-01-01,QR/Validación,Línea 1,0.0
2022-01-01,QR/Validación,Línea 2,0.0
2022-01-01,QR/Validación,Línea 3,0.0
2022-01-01,QR/Validación,Línea 4,0.0
2022-01-01,QR/Validación,Línea 5,0.0
2022-01-01,QR/Validación,Línea 6,0.0
2022-01-01,QR/Validación,Línea 7,0.0
2022-01-01,QR/Validación,Línea 8,0.0
2022-01-01,QR/Validación,Línea 9,2345.0
2022-01-01,QR/Validación,Línea A,0.0
2022-01-01,QR/Validación,Línea B,0.0
2022-01-01,QR/Validación,Línea 12,0.0
2022-01-02,Boletos,Línea 1,676425.0
2022-01-02,Boletos,Línea 2,549225.0
2022-01-02,Boletos,Línea 3,338000.0
2022-01-02,Boletos,Línea 4,81295.0
2022-01-02,Boletos,Línea 5,203750.0
2022-01-02,Boletos,Línea 6,76750.0
2022-01-02,Boletos,Línea 7,149300.0
2022-01-02,Boletos,Línea 8,270825.0
2022-01-02,Boletos,Línea 9,145345.0
2022-01-02,Boletos,Línea A,247625.0
2022-01-02,Boletos,Línea B,504700.0
2022-01-02,Boletos,Línea 12,0.0
2022-01-02,Recargas,Línea 1,663454.7
2022-01-02,Recargas,Línea 2,710573.5
2022-01-02,Recargas,Línea 3,690493.7
2022-01-02,Recargas,Línea 4,86247.0
2022-01-02,Recargas,Línea 5,256079.2
2022-01-02,Recargas,Línea 6,114762.0
2022-01-02,Recargas,Línea 7,273876.9
2022-01-02,Recargas,Línea 8,480295.0
2022-01-02,Recargas,Línea 9,279403.2
2022-01-02,Recargas,Línea A,318909.0
2022-01-02,Recargas,Línea B,606086.8
2022-01-02,Recargas,Línea 12,0.0
2022-01-02,Tarjetas,Línea 1,10200.0
2022-01-02,Tarjetas,Línea 2,9915.0
2022-01-02,Tarjetas,Línea 3,9615.0
2022-01-02,Tarjetas,Línea 4,615.0
2022-01-02,Tarjetas,Línea 5,3240.0
2022-01-02,Tarjetas,Línea 6,1425.0
2022-01-02,Tarjetas,Línea 7,2745.0
2022-01-02,Tarjetas,Línea 8,4815.0
2022-01-02,Tarjetas,Línea 9,2295.0
2022-01-02,Tarjetas,Línea A,3450.0
2022-01-02,Tarjetas,Línea B,5880.0
2022-01-02,Tarjetas,Línea 12,0.0
2022-01-02,QR/Validación,Línea 1,0.0
2022-01-02,QR/Validación,Línea 2,0.0
2022-01-02,QR/Validación,Línea 3,0.0
2022-01-02,QR/Validación,Línea 4,0.0
2022-01-02,QR/Validación,Línea 5,0.0
2022-01-02,QR/Validación,Línea 6,0.0
2022-01-02,QR/Validación,Línea 7,0.0
2022-01-02,QR/Validación,Línea 8,0.0
2022-01-02,QR/Validación,Línea 9,3325.0
2022-01-02,QR/Validación,Línea A,0.0
2022-01-02,QR/Validación,Línea B,0.0
2022-01-02,QR/Validación,Línea 12,0.0
2022-01-03,Boletos,Línea 1,938575.0
2022-01-03,Boletos,Línea 2,808275.0
2022-01-03,Boletos,Línea 3,584080.0
2022-01-03,Boletos,Línea 4,121150.0
2022-01-03,Boletos,Línea 5,282900.0
2022-01-03,Boletos,Línea 6,117350.0
2022-01-03,Boletos,Línea 7,262275.0
2022-01-03,Boletos,Línea 8,440375.0
2022-01-03,Boletos,Línea 9,281905.0
2022-01-03,Boletos,Línea A,381675.0
2022-01-03,Boletos,Línea B,661750.0
2022-01-03,Boletos,Línea 12,0.0
2022-01-03,Recargas,Línea 1,1474051.5
2022-01-03,Recargas,Línea 2,1492018.7
2022-01-03,Recargas,Línea 3,1593124.3
2022-01-03,Recargas,Línea 4,195290.0
2022-01-03,Recargas,Línea 5,478196.4
2022-01-03,Recargas,Línea 6,329932.7
2022-01-03,Recargas,Línea 7,816903.0
2022-01-03,Recargas,Línea 8,1110141.7
2022-01-03,Recargas,Línea 9,750984.9
2022-01-03,Recargas,Línea A,740932.3
2022-01-03,Recargas,Línea B,1186494.5
2022-01-03,Recargas,Línea 12,0.0
2022-01-03,Tarjetas,Línea 1,17040.0
2022-01-03,Tarjetas,Línea 2,14775.0
2022-01-03,Tarjetas,Línea 3,14295.0
2022-01-03,Tarjetas,Línea 4,900.0
2022-01-03,Tarjetas,Línea 5,3885.0
2022-01-03,Tarjetas,Línea 6,1905.0
2022-01-03,Tarjetas,Línea 7,5850.0
2022-01-03,Tarjetas,Línea 8,8190.0
2022-01-03,Tarjetas,Línea 9,4980.0
2022-01-03,Tarjetas,Línea A,6165.0
2022-01-03,Tarjetas,Línea B,8790.0
2022-01-03,Tarjetas,Línea 12,0.0
2022-01-03,QR/Validación,Línea 1,0.0
2022-01-03,QR/Validación,Línea 2,0.0
2022-01-03,QR/Validación,Línea 3,0.0
2022-01-03,QR/Validación,Línea 4,0.0
2022-01-03,QR/Validación,Línea 5,0.0
2022-01-03,QR/Validación,Línea 6,0.0
2022-01-03,QR/Validación,Línea 7,0.0
2022-01-03,QR/Validación,Línea 8,0.0
2022-01-03,QR/Validación,Línea 9,9410.0
2022-01-03,QR/Validación,Línea A,0.0
2022-01-03,QR/Validación,Línea B,0.0
2022-01-03,QR/Validación,Línea 12,0.0
2022-01-04,Boletos,Línea 1,846800.0
2022-01-04,Boletos,Línea 2,794625.0
2022-01-04,Boletos,Línea 3,586445.0
2022-01-04,Boletos,Línea 4,121525.0
2022-01-04,Boletos,Línea 5,251025.0
2022-01-04,Boletos,Línea 6,110075.0
2022-01-04,Boletos,Línea 7,254525.0
2022-01-04,Boletos,Línea 8,443725.0
2022-01-04,Boletos,Línea 9,276775.0
2022-01-04,Boletos,Línea A,379700.0
2022-01-04,Boletos,Línea B,608675.0
2022-01-04,Boletos,Línea 12,0.0
2022-01-04,Recargas,Línea 1,1287407.2
2022-01-04,Recargas,Línea 2,1396650.7
2022-01-04,Recargas,Línea 3,1392985.1
2022-01-04,Recargas,Línea 4,153538.0
2022-01-04,Recargas,Línea 5,419191.1
2022-01-04,Recargas,Línea 6,247774.9
2022-01-04,Recargas,Línea 7,747582.5
2022-01-04,Recargas,Línea 8,981029.6
2022-01-04,Recargas,Línea 9,725778.7
2022-01-04,Recargas,Línea A,657796.2
2022-01-04,Recargas,Línea B,1003198.0
2022-01-04,Recargas,Línea 12,0.0
2022-01-04,Tarjetas,Línea 1,12855.0
2022-01-04,Tarjetas,Línea 2,14790.0
2022-01-04,Tarjetas,Línea 3,11325.0
2022-01-04,Tarjetas,Línea 4,720.0
2022-01-04,Tarjetas,Línea 5,3645.0
2022-01-04,Tarjetas,Línea 6,1665.0
2022-01-04,Tarjetas,Línea 7,5715.0
2022-01-04,Tarjetas,Línea 8,8400.0
2022-01-04,Tarjetas,Línea 9,4755.0
2022-01-04,Tarjetas,Línea A,6855.0
2022-01-04,Tarjetas,Línea B,7800.0
2022-01-04,Tarjetas,Línea 12,0.0
2022-01-04,QR/Validación,Línea 1,0.0
2022-01-04,QR/Validación,Línea 2,0.0
2022-01-04,QR/Validación,Línea 3,0.0
2022-01-04,QR/Validación,Línea 4,0.0
2022-01-04,QR/Validación,Línea 5,0.0
2022-01-04,QR/Validación,Línea 6,0.0
2022-01-04,QR/Validación,Línea 7,0.0
2022-01-04,QR/Validación,Línea 8,0.0
2022-01-04,QR/Validación,Línea 9,10110.0
2022-01-04,QR/Validación,Línea A,0.0
2022-01-04,QR/Validación,Línea B,0.0
2022-01-04,QR/Validación,Línea 12,0.0
2022-01-05,Boletos,Línea 1,825825.0
2022-01-05,Boletos,Línea 2,790675.0
2022-01-05,Boletos,Línea 3,571675.0
2022-01-05,Boletos,Línea 4,130050.0
2022-01-05,Boletos,Línea 5,247825.0
2022-01-05,Boletos,Línea 6,111275.0
2022-01-05,Boletos,Línea 7,253850.0
2022-01-05,Boletos,Línea 8,467125.0
2022-01-05,Boletos,Línea 9,283000.0
2022-01-05,Boletos,Línea A,401625.0
2022-01-05,Boletos,Línea B,665125.0
2022-01-05,Boletos,Línea 12,0.0
2022-01-05,Recargas,Línea 1,1178508.8
2022-01-05,Recargas,Línea 2,1303501.0
2022-01-05,Recargas,Línea 3,1255051.9
2022-01-05,Recargas,Línea 4,142134.0
2022-01-05,Recargas,Línea 5,374534.2
2022-01-05,Recargas,Línea 6,211815.0
2022-01-05,Recargas,Línea 7,650099.2
2022-01-05,Recargas,Línea 8,906013.5
2022-01-05,Recargas,Línea 9,669155.7
2022-01-05,Recargas,Línea A,492082.2
2022-01-05,Recargas,Línea B,912536.5
2022-01-05,Recargas,Línea 12,0.0
2022-01-05,Tarjetas,Línea 1,13770.0
2022-01-05,Tarjetas,Línea 2,13515.0
2022-01-05,Tarjetas,Línea 3,10050.0
2022-01-05,Tarjetas,Línea 4,750.0
