Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,11266,11801,0,23067
 Baja California,BC,Noroeste,29364,29651,0,59015
 Baja California Sur,BS,Noroeste,5084,5158,0,10242
 Campeche,CM,Sureste,7049,7246,0,14295
 Coahuila de Zaragoza,CO,Noreste,23326,23802,0,47128
 Colima,CL,Occidente,4721,4831,0,9552
 Chiapas,CS,Sureste,71864,74434,0,146298
 Chihuahua,CH,Noroeste,26904,28067,0,54971
 CDMX,CX,Centro-Sur,46606,47733,0,94339
 Durango,DG,Noroeste,15135,15924,0,31059
 Guanajuato,GT,Noreste,53094,54314,1,107409
 Guerrero,GR,Centro-Sur,32348,33238,1,65587
 Hidalgo,HG,Occidente,19310,20121,0,39431
 Jalisco,JC,Noroeste,62347,65106,0,127453
 Mexico,EM,Occidente,108751,110648,0,219399
 Michoacan,MI,Occidente,39911,41303,1,81215
 Morelos,MO,Centro-Sur,12681,12987,0,25668
 Nayarit,NA,Noroeste,8641,8701,0,17342
 Nuevo Leon,NL,Noreste,40408,41706,0,82114
 Oaxaca,OA,Sureste,35682,36330,0,72012
 Puebla,PU,Centro-Sur,56941,57862,0,114803
 Queretaro,QT,Noreste,16167,16634,0,32801
 Quintana Roo,QR,Sureste,12887,13229,0,26116
 San Luis Potosi,SL,Noreste,21236,21832,0,43068
 Sinaloa,SI,Noroeste,21840,22593,0,44433
 Sonora,SO,Noroeste,19963,20598,0,40561
 Tabasco,TB,Sureste,21379,21750,0,43129
 Tamaulipas,TM,Noreste,23959,25089,0,49048
 Tlaxcala,TL,Centro-Sur,10035,10260,0,20295
 Veracruz,VE,Sureste,51455,53582,0,105037
 Yucatan,YU,Sureste,13926,14138,0,28064
 Zacatecas,ZA,Noreste,14022,14420,0,28442
