anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria,sexo,edad,tipo_persona,calidad_juridica,competencia,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,colonia_catalogo,colonia_hecho,alcaldia_hecho,municipio_hecho,latitud,longitud
2022,Diciembre,31/12/22,22:08:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,NA,NA,MORAL,OFENDIDO,FUERO COMUN,2023,Enero,01/01/23,0:09:00,INSURGENTES CUICUILCO,INSURGENTES CUICUILCO,COYOACAN,CDMX,19.30553171,-99.18630838
2022,Diciembre,31/12/22,23:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,50,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,0:41:00,MOCTEZUMA 2A SECCION IV,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,CDMX,19.42979669,-99.09867235
2022,Diciembre,31/12/22,20:30:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,34,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,0:44:00,SAN JUAN DE ARAGON 3A SECCION (U HAB) I,SAN JUAN DE ARAGÓN III SECCIÓN,GUSTAVO A. MADERO,CDMX,19.45164146,-99.07652915
2022,Diciembre,31/12/22,23:30:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,0:47:00,XOTEPINGO,XOTEPINGO,COYOACAN,CDMX,19.32324513,-99.13801632
2022,Diciembre,31/12/22,10:30:00,PERDIDA DE LA VIDA POR OTRAS CAUSAS,HECHO NO DELICTIVO,Masculino,90,FISICA,CADAVER,HECHOS NO DELICTIVOS,2023,Enero,01/01/23,0:56:00,NA,NA,GUSTAVO A. MADERO,CDMX,NA,NA
2022,Diciembre,31/12/22,23:15:00,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,1:04:00,PASEOS DE CHURUBUSCO,CENTRAL DE ABASTO,IZTAPALAPA,CDMX,19.37701742,-99.09199119
2022,Diciembre,31/12/22,22:47:00,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,Masculino,58,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,1:33:00,CULHUACAN (PBLO),PUEBLO CULHUACÁN,IZTAPALAPA,CDMX,19.338649,-99.10879254
2022,Diciembre,31/12/22,23:00:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,32,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,1:43:00,PENSIL SUR,PENSIL SUR,MIGUEL HIDALGO,CDMX,19.44575998,-99.19579078
2022,Diciembre,31/12/22,16:00:00,PERSONAS EXTRAVIADAS Y AUSENTES,DELITO DE BAJO IMPACTO,Masculino,14,FISICA,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,1:48:00,STA MA AZTAHUACAN (PBLO),SANTA MARIA AZTAHUACAN,IZTAPALAPA,CDMX,19.34779313,-99.01912987
2022,Diciembre,31/12/22,23:50:00,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,Masculino,31,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,1:55:00,PERALVILLO I,PERALVILLO,CUAUHTEMOC,CDMX,19.46148651,-99.13756996
